AP890102-0081 0:0.33223684210526316 13:0.2532894736842105 5:0.2138157894736842 14:0.12171052631578948 15:0.029605263157894735 11:0.003289473684210526 12:0.003289473684210526 16:0.003289473684210526 17:0.003289473684210526 18:0.003289473684210526 19:0.003289473684210526 1:0.003289473684210526 2:0.003289473684210526 3:0.003289473684210526 4:0.003289473684210526 6:0.003289473684210526 7:0.003289473684210526 8:0.003289473684210526 9:0.003289473684210526 10:0.003289473684210526
AP890103-0126 3:0.29383116883116883 10:0.28733766233766234 14:0.1444805194805195 15:0.11201298701298701 6:0.10551948051948051 19:0.01461038961038961 4:0.01461038961038961 1:0.008116883116883116 11:0.0016233766233766235 12:0.0016233766233766235 13:0.0016233766233766235 16:0.0016233766233766235 17:0.0016233766233766235 18:0.0016233766233766235 0:0.0016233766233766235 2:0.0016233766233766235 5:0.0016233766233766235 7:0.0016233766233766235 8:0.0016233766233766235 9:0.0016233766233766235
AP890103-0151 10:0.25775193798449614 12:0.2189922480620155 14:0.12596899224806202 6:0.0872093023255814 3:0.07170542635658915 7:0.07170542635658915 1:0.03294573643410853 8:0.03294573643410853 9:0.025193798449612403 15:0.01744186046511628 19:0.01744186046511628 0:0.01744186046511628 18:0.009689922480620155 11:0.001937984496124031 13:0.001937984496124031 16:0.001937984496124031 17:0.001937984496124031 2:0.001937984496124031 4:0.001937984496124031 5:0.001937984496124031
AP890104-0077 16:0.4252577319587629 14:0.15721649484536082 2:0.09536082474226804 1:0.08505154639175258 0:0.07474226804123711 3:0.06443298969072164 15:0.023195876288659795 8:0.023195876288659795 17:0.01288659793814433 5:0.01288659793814433 11:0.002577319587628866 12:0.002577319587628866 13:0.002577319587628866 18:0.002577319587628866 19:0.002577319587628866 4:0.002577319587628866 6:0.002577319587628866 7:0.002577319587628866 9:0.002577319587628866 10:0.002577319587628866
AP890105-0103 10:0.6658163265306123 19:0.09438775510204081 4:0.06377551020408163 7:0.05357142857142857 15:0.04336734693877551 2:0.02295918367346939 14:0.012755102040816327 18:0.012755102040816327 11:0.002551020408163265 12:0.002551020408163265 13:0.002551020408163265 16:0.002551020408163265 17:0.002551020408163265 0:0.002551020408163265 1:0.002551020408163265 3:0.002551020408163265 5:0.002551020408163265 6:0.002551020408163265 8:0.002551020408163265 9:0.002551020408163265
AP890105-0104 10:0.44485294117647056 15:0.16544117647058823 14:0.15073529411764705 3:0.04779411764705882 16:0.03308823529411765 18:0.03308823529411765 0:0.03308823529411765 6:0.03308823529411765 2:0.01838235294117647 11:0.003676470588235294 12:0.003676470588235294 13:0.003676470588235294 17:0.003676470588235294 19:0.003676470588235294 1:0.003676470588235294 4:0.003676470588235294 5:0.003676470588235294 7:0.003676470588235294 8:0.003676470588235294 9:0.003676470588235294
AP890105-0154 17:0.25938967136150237 12:0.22652582159624413 0:0.15610328638497653 14:0.142018779342723 9:0.09507042253521127 10:0.04342723004694836 4:0.029342723004694836 19:0.02464788732394366 16:0.01056338028169014 11:0.0011737089201877935 13:0.0011737089201877935 15:0.0011737089201877935 18:0.0011737089201877935 1:0.0011737089201877935 2:0.0011737089201877935 3:0.0011737089201877935 5:0.0011737089201877935 6:0.0011737089201877935 7:0.0011737089201877935 8:0.0011737089201877935
AP890105-0166 10:0.36447368421052634 13:0.13289473684210526 14:0.10657894736842105 2:0.09605263157894736 19:0.08552631578947369 12:0.04342105263157895 3:0.04342105263157895 4:0.04342105263157895 17:0.03289473684210526 6:0.02763157894736842 15:0.006578947368421052 9:0.006578947368421052 11:0.0013157894736842105 16:0.0013157894736842105 18:0.0013157894736842105 0:0.0013157894736842105 1:0.0013157894736842105 5:0.0013157894736842105 7:0.0013157894736842105 8:0.0013157894736842105
AP890107-0112 2:0.27389705882352944 14:0.25183823529411764 16:0.22977941176470587 3:0.08272058823529412 6:0.04595588235294118 1:0.03860294117647059 10:0.02389705882352941 17:0.016544117647058824 0:0.016544117647058824 11:0.001838235294117647 12:0.001838235294117647 13:0.001838235294117647 15:0.001838235294117647 18:0.001838235294117647 19:0.001838235294117647 4:0.001838235294117647 5:0.001838235294117647 7:0.001838235294117647 8:0.001838235294117647 9:0.001838235294117647
AP890107-0128 0:0.16899441340782123 9:0.13547486033519554 2:0.11871508379888268 16:0.09636871508379888 7:0.07960893854748603 10:0.07402234636871509 14:0.06843575418994413 17:0.06843575418994413 11:0.051675977653631286 13:0.034916201117318434 12:0.029329608938547486 18:0.029329608938547486 4:0.018156424581005588 15:0.012569832402234637 3:0.006983240223463687 19:0.0013966480446927375 1:0.0013966480446927375 5:0.0013966480446927375 6:0.0013966480446927375 8:0.0013966480446927375
AP890108-0037 3:0.6231060606060606 5:0.0928030303030303 14:0.07765151515151515 7:0.054924242424242424 17:0.032196969696969696 16:0.02462121212121212 9:0.02462121212121212 12:0.00946969696969697 19:0.00946969696969697 1:0.00946969696969697 6:0.00946969696969697 8:0.00946969696969697 10:0.00946969696969697 11:0.001893939393939394 13:0.001893939393939394 15:0.001893939393939394 18:0.001893939393939394 0:0.001893939393939394 2:0.001893939393939394 4:0.001893939393939394
AP890109-0169 1:0.26171875 15:0.19921875 14:0.13671875 10:0.13151041666666666 9:0.10546875 3:0.048177083333333336 18:0.04296875 8:0.02734375 19:0.022135416666666668 2:0.006510416666666667 5:0.006510416666666667 11:0.0013020833333333333 12:0.0013020833333333333 13:0.0013020833333333333 16:0.0013020833333333333 17:0.0013020833333333333 0:0.0013020833333333333 4:0.0013020833333333333 6:0.0013020833333333333 7:0.0013020833333333333
AP890110-0016 6:0.23316498316498316 18:0.19612794612794612 9:0.15572390572390574 14:0.15235690235690236 15:0.15235690235690236 1:0.05134680134680135 5:0.021043771043771045 13:0.017676767676767676 19:0.004208754208754209 8:0.004208754208754209 10:0.004208754208754209 11:8.417508417508417E-4 12:8.417508417508417E-4 16:8.417508417508417E-4 17:8.417508417508417E-4 0:8.417508417508417E-4 2:8.417508417508417E-4 3:8.417508417508417E-4 4:8.417508417508417E-4 7:8.417508417508417E-4
AP890110-0033 9:0.2840909090909091 6:0.19318181818181818 15:0.09178321678321678 14:0.08479020979020979 2:0.0743006993006993 0:0.04632867132867133 19:0.039335664335664336 18:0.03583916083916084 1:0.032342657342657344 10:0.028846153846153848 12:0.025349650349650348 8:0.021853146853146852 3:0.018356643356643356 13:0.01486013986013986 17:0.004370629370629371 11:8.741258741258741E-4 16:8.741258741258741E-4 4:8.741258741258741E-4 5:8.741258741258741E-4 7:8.741258741258741E-4
