AP890101-0034 13:0.26973684210526316 9:0.18552631578947368 10:0.18026315789473685 0:0.175 18:0.12763157894736843 19:0.011842105263157895 2:0.011842105263157895 4:0.011842105263157895 1:0.006578947368421052 8:0.006578947368421052 11:0.0013157894736842105 12:0.0013157894736842105 14:0.0013157894736842105 15:0.0013157894736842105 16:0.0013157894736842105 17:0.0013157894736842105 3:0.0013157894736842105 5:0.0013157894736842105 6:0.0013157894736842105 7:0.0013157894736842105
AP890102-0115 5:0.26371951219512196 11:0.22103658536585366 18:0.17835365853658536 8:0.1173780487804878 9:0.06859756097560976 4:0.03201219512195122 17:0.025914634146341462 13:0.019817073170731708 15:0.019817073170731708 6:0.019817073170731708 0:0.007621951219512195 2:0.007621951219512195 7:0.007621951219512195 12:0.001524390243902439 14:0.001524390243902439 16:0.001524390243902439 19:0.001524390243902439 1:0.001524390243902439 3:0.001524390243902439 10:0.001524390243902439
AP890103-0003 11:0.5933098591549296 5:0.11443661971830986 3:0.1073943661971831 17:0.06514084507042253 16:0.051056338028169015 9:0.02992957746478873 0:0.01584507042253521 12:0.0017605633802816902 13:0.0017605633802816902 14:0.0017605633802816902 15:0.0017605633802816902 18:0.0017605633802816902 19:0.0017605633802816902 1:0.0017605633802816902 2:0.0017605633802816902 4:0.0017605633802816902 6:0.0017605633802816902 7:0.0017605633802816902 8:0.0017605633802816902 10:0.0017605633802816902
AP890104-0017 13:0.8514150943396226 10:0.08726415094339622 14:0.01179245283018868 4:0.01179245283018868 11:0.0023584905660377358 12:0.0023584905660377358 15:0.0023584905660377358 16:0.0023584905660377358 17:0.0023584905660377358 18:0.0023584905660377358 19:0.0023584905660377358 0:0.0023584905660377358 1:0.0023584905660377358 2:0.0023584905660377358 3:0.0023584905660377358 5:0.0023584905660377358 6:0.0023584905660377358 7:0.0023584905660377358 8:0.0023584905660377358 9:0.0023584905660377358
AP890104-0035 2:0.4579037800687285 10:0.25859106529209624 19:0.07302405498281787 0:0.06958762886597938 3:0.04209621993127148 16:0.028350515463917526 5:0.02491408934707904 1:0.014604810996563574 9:0.014604810996563574 14:0.007731958762886598 11:8.59106529209622E-4 12:8.59106529209622E-4 13:8.59106529209622E-4 15:8.59106529209622E-4 17:8.59106529209622E-4 18:8.59106529209622E-4 4:8.59106529209622E-4 6:8.59106529209622E-4 7:8.59106529209622E-4 8:8.59106529209622E-4
AP890104-0086 13:0.7568897637795275 0:0.0639763779527559 18:0.05216535433070866 10:0.05216535433070866 12:0.02066929133858268 6:0.01673228346456693 16:0.008858267716535433 4:0.008858267716535433 11:0.004921259842519685 7:0.004921259842519685 14:9.84251968503937E-4 15:9.84251968503937E-4 17:9.84251968503937E-4 19:9.84251968503937E-4 1:9.84251968503937E-4 2:9.84251968503937E-4 3:9.84251968503937E-4 5:9.84251968503937E-4 8:9.84251968503937E-4 9:9.84251968503937E-4
AP890104-0138 8:0.3436073059360731 17:0.22031963470319635 5:0.16095890410958905 1:0.06506849315068493 9:0.05136986301369863 18:0.03767123287671233 6:0.028538812785388126 14:0.014840182648401826 3:0.014840182648401826 7:0.014840182648401826 10:0.014840182648401826 11:0.010273972602739725 15:0.010273972602739725 4:0.005707762557077625 12:0.001141552511415525 13:0.001141552511415525 16:0.001141552511415525 19:0.001141552511415525 0:0.001141552511415525 2:0.001141552511415525
AP890104-0139 11:0.5808823529411765 3:0.22794117647058823 5:0.08088235294117647 17:0.022058823529411766 9:0.022058823529411766 19:0.012254901960784314 7:0.012254901960784314 10:0.012254901960784314 12:0.0024509803921568627 13:0.0024509803921568627 14:0.0024509803921568627 15:0.0024509803921568627 16:0.0024509803921568627 18:0.0024509803921568627 0:0.0024509803921568627 1:0.0024509803921568627 2:0.0024509803921568627 4:0.0024509803921568627 6:0.0024509803921568627 8:0.0024509803921568627
AP890105-0060 13:0.49107142857142855 0:0.20535714285714285 10:0.16314935064935066 18:0.036525974025974024 3:0.026785714285714284 16:0.02353896103896104 8:0.020292207792207792 12:0.007305194805194805 7:0.007305194805194805 11:0.004058441558441558 14:0.004058441558441558 4:0.004058441558441558 15:8.116883116883117E-4 17:8.116883116883117E-4 19:8.116883116883117E-4 1:8.116883116883117E-4 2:8.116883116883117E-4 5:8.116883116883117E-4 6:8.116883116883117E-4 9:8.116883116883117E-4
AP890106-0009 18:0.6294910179640718 10:0.1474550898203593 19:0.05464071856287425 2:0.048652694610778445 11:0.036676646706586824 0:0.030688622754491017 13:0.012724550898203593 7:0.012724550898203593 15:0.009730538922155689 1:0.006736526946107785 12:0.0037425149700598802 14:7.485029940119761E-4 16:7.485029940119761E-4 17:7.485029940119761E-4 3:7.485029940119761E-4 4:7.485029940119761E-4 5:7.485029940119761E-4 6:7.485029940119761E-4 8:7.485029940119761E-4 9:7.485029940119761E-4
AP890106-0010 18:0.6669776119402985 10:0.09483830845771145 14:0.07866915422885572 19:0.041355721393034825 3:0.03762437810945274 15:0.020211442786069653 7:0.013992537313432836 0:0.011504975124378109 12:0.010261194029850746 11:0.0065298507462686565 13:0.0065298507462686565 1:0.005286069651741294 8:0.002798507462686567 2:0.001554726368159204 16:3.109452736318408E-4 17:3.109452736318408E-4 4:3.109452736318408E-4 5:3.109452736318408E-4 6:3.109452736318408E-4 9:3.109452736318408E-4
AP890106-0128 11:0.5133928571428571 3:0.22172619047619047 5:0.07886904761904762 17:0.043154761904761904 10:0.043154761904761904 18:0.025297619047619048 7:0.025297619047619048 1:0.013392857142857142 13:0.00744047619047619 15:0.00744047619047619 9:0.00744047619047619 12:0.001488095238095238 14:0.001488095238095238 16:0.001488095238095238 19:0.001488095238095238 0:0.001488095238095238 2:0.001488095238095238 4:0.001488095238095238 6:0.001488095238095238 8:0.001488095238095238
AP890107-0075 5:0.6177536231884058 6:0.21920289855072464 16:0.03804347826086957 8:0.03804347826086957 15:0.016304347826086956 1:0.016304347826086956 10:0.016304347826086956 19:0.009057971014492754 0:0.009057971014492754 11:0.0018115942028985507 12:0.0018115942028985507 13:0.0018115942028985507 14:0.0018115942028985507 17:0.0018115942028985507 18:0.0018115942028985507 2:0.0018115942028985507 3:0.0018115942028985507 4:0.0018115942028985507 7:0.0018115942028985507 9:0.0018115942028985507
AP890107-0108 13:0.728219696969697 11:0.05397727272727273 17:0.04261363636363636 10:0.038825757575757576 14:0.035037878787878785 18:0.03125 8:0.027462121212121212 16:0.01231060606060606 15:0.008522727272727272 12:0.004734848484848485 3:0.004734848484848485 7:0.004734848484848485 19:9.46969696969697E-4 0:9.46969696969697E-4 1:9.46969696969697E-4 2:9.46969696969697E-4 4:9.46969696969697E-4 5:9.46969696969697E-4 6:9.46969696969697E-4 9:9.46969696969697E-4
AP890107-0156 9:0.2980093676814988 1:0.1598360655737705 0:0.15515222482435598 10:0.1129976580796253 5:0.052107728337236536 3:0.03571428571428571 14:0.031030444964871194 16:0.026346604215456676 13:0.024004683840749413 18:0.021662763466042154 8:0.021662763466042154 17:0.019320843091334895 4:0.016978922716627636 11:0.012295081967213115 19:0.007611241217798595 6:0.002927400468384075 12:5.85480093676815E-4 15:5.85480093676815E-4 2:5.85480093676815E-4 7:5.85480093676815E-4
AP890108-0056 14:0.45229007633587787 10:0.32251908396946566 0:0.09351145038167939 3:0.07061068702290077 15:0.01717557251908397 17:0.009541984732824428 9:0.009541984732824428 11:0.0019083969465648854 12:0.0019083969465648854 13:0.0019083969465648854 16:0.0019083969465648854 18:0.0019083969465648854 19:0.0019083969465648854 1:0.0019083969465648854 2:0.0019083969465648854 4:0.0019083969465648854 5:0.0019083969465648854 6:0.0019083969465648854 7:0.0019083969465648854 8:0.0019083969465648854
AP890108-0072 7:0.2627551020408163 9:0.1913265306122449 10:0.12670068027210885 5:0.0824829931972789 1:0.07908163265306123 12:0.06547619047619048 14:0.05187074829931973 3:0.03486394557823129 4:0.02465986394557823 15:0.021258503401360544 11:0.017857142857142856 6:0.017857142857142856 17:0.011054421768707483 13:0.007653061224489796 16:8.503401360544217E-4 18:8.503401360544217E-4 19:8.503401360544217E-4 0:8.503401360544217E-4 2:8.503401360544217E-4 8:8.503401360544217E-4
AP890109-0013 5:0.32419786096256686 8:0.2894385026737968 10:0.17446524064171123 16:0.05949197860962567 2:0.046122994652406414 17:0.030080213903743314 0:0.022058823529411766 4:0.022058823529411766 14:0.008689839572192513 1:0.008689839572192513 19:0.0033422459893048127 3:0.0033422459893048127 7:0.0033422459893048127 11:6.684491978609625E-4 12:6.684491978609625E-4 13:6.684491978609625E-4 15:6.684491978609625E-4 18:6.684491978609625E-4 6:6.684491978609625E-4 9:6.684491978609625E-4
AP890109-0256 9:0.19269340974212035 5:0.1669054441260745 15:0.15830945558739254 0:0.15257879656160458 10:0.10959885386819485 17:0.0494269340974212 12:0.03510028653295129 1:0.03510028653295129 4:0.029369627507163324 8:0.020773638968481375 11:0.012177650429799427 2:0.012177650429799427 7:0.012177650429799427 16:0.009312320916905445 13:7.163323782234957E-4 14:7.163323782234957E-4 18:7.163323782234957E-4 19:7.163323782234957E-4 3:7.163323782234957E-4 6:7.163323782234957E-4
AP890110-0006 8:0.4480769230769231 5:0.16346153846153846 6:0.07115384615384615 18:0.06346153846153846 13:0.05576923076923077 14:0.04807692307692308 3:0.04038461538461539 10:0.04038461538461539 7:0.025 11:0.01730769230769231 17:0.009615384615384616 12:0.0019230769230769232 15:0.0019230769230769232 16:0.0019230769230769232 19:0.0019230769230769232 0:0.0019230769230769232 1:0.0019230769230769232 2:0.0019230769230769232 4:0.0019230769230769232 9:0.0019230769230769232
AP890110-0212 10:0.3276209677419355 16:0.12600806451612903 19:0.12600806451612903 3:0.10584677419354839 18:0.09778225806451613 9:0.06149193548387097 5:0.04939516129032258 0:0.021169354838709676 15:0.017137096774193547 12:0.01310483870967742 1:0.01310483870967742 6:0.01310483870967742 7:0.01310483870967742 13:0.009072580645161291 11:0.0010080645161290322 14:0.0010080645161290322 17:0.0010080645161290322 2:0.0010080645161290322 4:0.0010080645161290322 8:0.0010080645161290322
AP890111-0036 2:0.3359375 16:0.12571022727272727 10:0.10298295454545454 5:0.09730113636363637 9:0.07173295454545454 6:0.0546875 13:0.049005681818181816 11:0.040482954545454544 12:0.03196022727272727 0:0.026278409090909092 15:0.01775568181818182 1:0.014914772727272728 14:0.009232954545454546 19:0.006392045454545455 7:0.006392045454545455 8:0.006392045454545455 17:7.102272727272727E-4 18:7.102272727272727E-4 3:7.102272727272727E-4 4:7.102272727272727E-4
AP890111-0072 5:0.6817010309278351 17:0.05798969072164949 6:0.05798969072164949 19:0.04252577319587629 3:0.037371134020618556 9:0.027061855670103094 10:0.027061855670103094 12:0.01675257731958763 14:0.011597938144329897 13:0.006443298969072165 18:0.006443298969072165 1:0.006443298969072165 2:0.006443298969072165 8:0.006443298969072165 11:0.001288659793814433 15:0.001288659793814433 16:0.001288659793814433 0:0.001288659793814433 4:0.001288659793814433 7:0.001288659793814433
AP890111-0101 10:0.5318181818181819 14:0.36818181818181817 11:0.022727272727272728 12:0.004545454545454545 13:0.004545454545454545 15:0.004545454545454545 16:0.004545454545454545 17:0.004545454545454545 18:0.004545454545454545 19:0.004545454545454545 0:0.004545454545454545 1:0.004545454545454545 2:0.004545454545454545 3:0.004545454545454545 4:0.004545454545454545 5:0.004545454545454545 6:0.004545454545454545 7:0.004545454545454545 8:0.004545454545454545 9:0.004545454545454545
AP890111-0105 5:0.6797445255474452 11:0.0739051094890511 10:0.06295620437956205 19:0.03375912408759124 1:0.03375912408759124 6:0.030109489051094892 3:0.01916058394160584 2:0.01551094890510949 9:0.01551094890510949 8:0.011861313868613138 18:0.008211678832116789 13:0.004562043795620438 14:0.004562043795620438 12:9.124087591240876E-4 15:9.124087591240876E-4 16:9.124087591240876E-4 17:9.124087591240876E-4 0:9.124087591240876E-4 4:9.124087591240876E-4 7:9.124087591240876E-4
AP890111-0182 5:0.5664983164983165 1:0.07828282828282829 16:0.07154882154882154 10:0.06818181818181818 8:0.05808080808080808 9:0.05134680134680135 3:0.041245791245791245 6:0.034511784511784514 18:0.010942760942760943 11:0.007575757575757576 19:0.004208754208754209 12:8.417508417508417E-4 13:8.417508417508417E-4 14:8.417508417508417E-4 15:8.417508417508417E-4 17:8.417508417508417E-4 0:8.417508417508417E-4 2:8.417508417508417E-4 4:8.417508417508417E-4 7:8.417508417508417E-4
AP890112-0053 9:0.5106209150326797 11:0.18709150326797386 10:0.07924836601307189 13:0.059640522875817 3:0.05310457516339869 16:0.03676470588235294 5:0.02696078431372549 18:0.02042483660130719 19:0.007352941176470588 17:0.004084967320261438 2:0.004084967320261438 4:0.004084967320261438 12:8.169934640522876E-4 14:8.169934640522876E-4 15:8.169934640522876E-4 0:8.169934640522876E-4 1:8.169934640522876E-4 6:8.169934640522876E-4 7:8.169934640522876E-4 8:8.169934640522876E-4
AP890112-0090 14:0.38788659793814434 10:0.19716494845360824 17:0.1559278350515464 15:0.07860824742268041 19:0.04252577319587629 2:0.037371134020618556 3:0.037371134020618556 16:0.011597938144329897 4:0.011597938144329897 7:0.011597938144329897 11:0.006443298969072165 18:0.006443298969072165 9:0.006443298969072165 12:0.001288659793814433 13:0.001288659793814433 0:0.001288659793814433 1:0.001288659793814433 5:0.001288659793814433 6:0.001288659793814433 8:0.001288659793814433
AP890113-0232 10:0.3459507042253521 16:0.16637323943661972 0:0.16637323943661972 2:0.0818661971830986 9:0.05017605633802817 13:0.03961267605633803 3:0.03961267605633803 8:0.03609154929577465 19:0.032570422535211266 1:0.014964788732394365 6:0.007922535211267605 11:0.0044014084507042256 14:0.0044014084507042256 5:0.0044014084507042256 12:8.802816901408451E-4 15:8.802816901408451E-4 17:8.802816901408451E-4 18:8.802816901408451E-4 4:8.802816901408451E-4 7:8.802816901408451E-4
AP890114-0069 7:0.3716216216216216 14:0.30984555984555984 12:0.07046332046332046 3:0.05501930501930502 10:0.05501930501930502 11:0.04343629343629344 4:0.02413127413127413 5:0.016409266409266408 15:0.012548262548262547 8:0.012548262548262547 9:0.012548262548262547 13:0.008687258687258687 16:9.652509652509653E-4 17:9.652509652509653E-4 18:9.652509652509653E-4 19:9.652509652509653E-4 0:9.652509652509653E-4 1:9.652509652509653E-4 2:9.652509652509653E-4 6:9.652509652509653E-4
AP890116-0066 0:0.4765625 14:0.2140625 10:0.1515625 3:0.0640625 13:0.0453125 19:0.0265625 11:0.0015625 12:0.0015625 15:0.0015625 16:0.0015625 17:0.0015625 18:0.0015625 1:0.0015625 2:0.0015625 4:0.0015625 5:0.0015625 6:0.0015625 7:0.0015625 8:0.0015625 9:0.0015625
AP890116-0143 0:0.44264069264069267 10:0.25216450216450215 14:0.10064935064935066 13:0.06601731601731602 3:0.05303030303030303 16:0.031385281385281384 15:0.0183982683982684 2:0.00974025974025974 6:0.005411255411255411 7:0.005411255411255411 8:0.005411255411255411 11:0.0010822510822510823 12:0.0010822510822510823 17:0.0010822510822510823 18:0.0010822510822510823 19:0.0010822510822510823 1:0.0010822510822510823 4:0.0010822510822510823 5:0.0010822510822510823 9:0.0010822510822510823
AP890116-0174 10:0.33837579617834396 14:0.2714968152866242 3:0.1536624203821656 15:0.0804140127388535 19:0.0517515923566879 18:0.04856687898089172 16:0.019904458598726114 11:0.007165605095541401 4:0.007165605095541401 7:0.007165605095541401 12:0.003980891719745223 6:0.003980891719745223 13:7.961783439490446E-4 17:7.961783439490446E-4 0:7.961783439490446E-4 1:7.961783439490446E-4 2:7.961783439490446E-4 5:7.961783439490446E-4 8:7.961783439490446E-4 9:7.961783439490446E-4
AP890117-0002 2:0.21470588235294116 10:0.21470588235294116 18:0.12058823529411765 4:0.09705882352941177 9:0.08529411764705883 0:0.061764705882352944 3:0.061764705882352944 13:0.05 6:0.026470588235294117 15:0.014705882352941176 17:0.014705882352941176 1:0.014705882352941176 11:0.0029411764705882353 12:0.0029411764705882353 14:0.0029411764705882353 16:0.0029411764705882353 19:0.0029411764705882353 5:0.0029411764705882353 7:0.0029411764705882353 8:0.0029411764705882353
AP890117-0011 12:0.28469162995594716 7:0.23623348017621146 10:0.1789647577092511 17:0.09306167400881057 6:0.037995594713656385 16:0.03579295154185022 1:0.03579295154185022 3:0.03359030837004405 5:0.02918502202643172 8:0.013766519823788546 4:0.007158590308370044 13:0.004955947136563877 0:0.0027533039647577094 9:0.0027533039647577094 11:5.506607929515419E-4 14:5.506607929515419E-4 15:5.506607929515419E-4 18:5.506607929515419E-4 19:5.506607929515419E-4 2:5.506607929515419E-4
