AP890101-0050 8:0.3526490066225166 15:0.27980132450331124 4:0.173841059602649 3:0.09437086092715231 1:0.02152317880794702 14:0.014900662251655629 9:0.014900662251655629 12:0.008278145695364239 17:0.008278145695364239 18:0.008278145695364239 7:0.008278145695364239 11:0.0016556291390728477 13:0.0016556291390728477 16:0.0016556291390728477 19:0.0016556291390728477 0:0.0016556291390728477 2:0.0016556291390728477 5:0.0016556291390728477 6:0.0016556291390728477 10:0.0016556291390728477
AP890101-0068 1:0.24618320610687022 13:0.1316793893129771 8:0.1316793893129771 14:0.08587786259541985 17:0.08587786259541985 4:0.08587786259541985 2:0.05534351145038168 11:0.04770992366412214 7:0.04007633587786259 19:0.02480916030534351 10:0.02480916030534351 3:0.01717557251908397 16:0.009541984732824428 12:0.0019083969465648854 15:0.0019083969465648854 18:0.0019083969465648854 0:0.0019083969465648854 5:0.0019083969465648854 6:0.0019083969465648854 9:0.0019083969465648854
AP890103-0157 4:0.26627906976744187 8:0.26627906976744187 15:0.2058139534883721 1:0.08488372093023255 3:0.07093023255813953 5:0.047674418604651166 14:0.015116279069767442 2:0.015116279069767442 16:0.005813953488372093 7:0.005813953488372093 9:0.005813953488372093 11:0.0011627906976744186 12:0.0011627906976744186 13:0.0011627906976744186 17:0.0011627906976744186 18:0.0011627906976744186 19:0.0011627906976744186 0:0.0011627906976744186 6:0.0011627906976744186 10:0.0011627906976744186
AP890103-0193 19:0.48050259965337955 2:0.13561525129982668 11:0.07668977469670711 0:0.0645580589254766 14:0.059358752166377815 10:0.050693240901213174 17:0.048960138648180246 1:0.043760831889081454 4:0.009098786828422877 12:0.007365684575389948 3:0.005632582322357019 7:0.005632582322357019 8:0.005632582322357019 5:0.002166377816291161 6:0.002166377816291161 13:4.332755632582322E-4 15:4.332755632582322E-4 16:4.332755632582322E-4 18:4.332755632582322E-4 9:4.332755632582322E-4
AP890103-0212 6:0.502851711026616 16:0.1112167300380228 3:0.1112167300380228 18:0.06939163498098859 19:0.06939163498098859 11:0.04657794676806084 9:0.016159695817490494 13:0.012357414448669201 15:0.012357414448669201 12:0.008555133079847909 14:0.008555133079847909 2:0.008555133079847909 8:0.008555133079847909 10:0.008555133079847909 17:9.505703422053232E-4 0:9.505703422053232E-4 1:9.505703422053232E-4 4:9.505703422053232E-4 5:9.505703422053232E-4 7:9.505703422053232E-4
AP890104-0013 2:0.3233695652173913 6:0.11322463768115942 1:0.10960144927536232 3:0.0806159420289855 19:0.06974637681159421 13:0.04800724637681159 4:0.044384057971014496 9:0.03713768115942029 7:0.029891304347826088 17:0.026268115942028984 5:0.022644927536231884 8:0.022644927536231884 12:0.019021739130434784 10:0.015398550724637682 14:0.01177536231884058 18:0.01177536231884058 11:0.004528985507246377 16:0.004528985507246377 0:0.004528985507246377 15:9.057971014492754E-4
AP890104-0087 9:0.4375 3:0.296195652173913 13:0.10054347826086957 11:0.057065217391304345 4:0.04619565217391304 12:0.01358695652173913 16:0.01358695652173913 14:0.002717391304347826 15:0.002717391304347826 17:0.002717391304347826 18:0.002717391304347826 19:0.002717391304347826 0:0.002717391304347826 1:0.002717391304347826 2:0.002717391304347826 5:0.002717391304347826 6:0.002717391304347826 7:0.002717391304347826 8:0.002717391304347826 10:0.002717391304347826
AP890105-0036 2:0.2405821917808219 8:0.2166095890410959 1:0.16866438356164384 15:0.1172945205479452 3:0.07277397260273973 4:0.059075342465753425 19:0.028253424657534245 13:0.01797945205479452 14:0.01797945205479452 6:0.014554794520547944 12:0.01113013698630137 17:0.01113013698630137 0:0.01113013698630137 5:0.007705479452054794 11:8.561643835616438E-4 16:8.561643835616438E-4 18:8.561643835616438E-4 7:8.561643835616438E-4 9:8.561643835616438E-4 10:8.561643835616438E-4
AP890105-0047 1:0.43427835051546393 17:0.27963917525773196 4:0.06829896907216494 8:0.05283505154639175 16:0.04768041237113402 3:0.04252577319587629 14:0.01675257731958763 0:0.011597938144329897 10:0.011597938144329897 12:0.006443298969072165 15:0.006443298969072165 5:0.006443298969072165 7:0.006443298969072165 11:0.001288659793814433 13:0.001288659793814433 18:0.001288659793814433 19:0.001288659793814433 2:0.001288659793814433 6:0.001288659793814433 9:0.001288659793814433
AP890105-0138 19:0.35993657505285415 11:0.16120507399577166 2:0.12103594080338266 3:0.1083509513742072 8:0.0554968287526427 9:0.0554968287526427 17:0.051268498942917545 1:0.040697674418604654 18:0.030126849894291756 7:0.0047568710359408035 15:0.002642706131078224 0:0.002642706131078224 10:0.002642706131078224 12:5.285412262156448E-4 13:5.285412262156448E-4 14:5.285412262156448E-4 16:5.285412262156448E-4 4:5.285412262156448E-4 5:5.285412262156448E-4 6:5.285412262156448E-4
AP890105-0183 13:0.39033742331288346 3:0.22469325153374234 1:0.15414110429447853 10:0.1142638036809816 5:0.03144171779141104 17:0.02223926380368098 6:0.02223926380368098 7:0.016104294478527608 15:0.009969325153374233 18:0.003834355828220859 19:0.003834355828220859 11:7.668711656441718E-4 12:7.668711656441718E-4 14:7.668711656441718E-4 16:7.668711656441718E-4 0:7.668711656441718E-4 2:7.668711656441718E-4 4:7.668711656441718E-4 8:7.668711656441718E-4 9:7.668711656441718E-4
