AP890101-0010 2:0.24813432835820895 8:0.21828358208955223 6:0.13619402985074627 0:0.1287313432835821 13:0.06902985074626866 9:0.04664179104477612 12:0.024253731343283583 19:0.024253731343283583 4:0.024253731343283583 15:0.016791044776119403 1:0.016791044776119403 11:0.009328358208955223 14:0.009328358208955223 16:0.009328358208955223 17:0.009328358208955223 18:0.0018656716417910447 3:0.0018656716417910447 5:0.0018656716417910447 7:0.0018656716417910447 10:0.0018656716417910447
AP890102-0067 17:0.32861635220125784 15:0.19025157232704404 8:0.10849056603773585 4:0.0959119496855346 3:0.08333333333333333 16:0.05188679245283019 19:0.04559748427672956 11:0.0330188679245283 12:0.020440251572327043 18:0.014150943396226415 5:0.007861635220125786 7:0.007861635220125786 13:0.0015723270440251573 14:0.0015723270440251573 0:0.0015723270440251573 1:0.0015723270440251573 2:0.0015723270440251573 6:0.0015723270440251573 9:0.0015723270440251573 10:0.0015723270440251573
AP890103-0010 15:0.28833333333333333 3:0.14833333333333334 6:0.12166666666666667 17:0.10833333333333334 10:0.055 2:0.04833333333333333 19:0.041666666666666664 8:0.041666666666666664 16:0.035 14:0.028333333333333332 4:0.021666666666666667 11:0.015 7:0.015 9:0.015 18:0.008333333333333333 12:0.0016666666666666668 13:0.0016666666666666668 0:0.0016666666666666668 1:0.0016666666666666668 5:0.0016666666666666668
AP890103-0098 3:0.5822649572649573 15:0.20192307692307693 8:0.09508547008547008 7:0.026709401709401708 12:0.022435897435897436 4:0.018162393162393164 11:0.013888888888888888 0:0.009615384615384616 5:0.009615384615384616 1:0.005341880341880342 9:0.005341880341880342 13:0.0010683760683760685 14:0.0010683760683760685 16:0.0010683760683760685 17:0.0010683760683760685 18:0.0010683760683760685 19:0.0010683760683760685 2:0.0010683760683760685 6:0.0010683760683760685 10:0.0010683760683760685
AP890103-0229 10:0.8495762711864406 15:0.036016949152542374 3:0.02754237288135593 16:0.019067796610169493 7:0.019067796610169493 0:0.01059322033898305 1:0.01059322033898305 11:0.00211864406779661 12:0.00211864406779661 13:0.00211864406779661 14:0.00211864406779661 17:0.00211864406779661 18:0.00211864406779661 19:0.00211864406779661 2:0.00211864406779661 4:0.00211864406779661 5:0.00211864406779661 6:0.00211864406779661 8:0.00211864406779661 9:0.00211864406779661
AP890103-0240 10:0.7366071428571429 8:0.06160714285714286 15:0.04375 14:0.033035714285714286 18:0.025892857142857145 4:0.025892857142857145 1:0.01875 16:0.015178571428571428 5:0.011607142857142858 7:0.011607142857142858 12:0.004464285714285714 19:0.004464285714285714 11:8.928571428571428E-4 13:8.928571428571428E-4 17:8.928571428571428E-4 0:8.928571428571428E-4 2:8.928571428571428E-4 3:8.928571428571428E-4 6:8.928571428571428E-4 9:8.928571428571428E-4
AP890104-0107 17:0.6869369369369369 14:0.11036036036036036 3:0.09234234234234234 8:0.07432432432432433 11:0.0022522522522522522 12:0.0022522522522522522 13:0.0022522522522522522 15:0.0022522522522522522 16:0.0022522522522522522 18:0.0022522522522522522 19:0.0022522522522522522 0:0.0022522522522522522 1:0.0022522522522522522 2:0.0022522522522522522 4:0.0022522522522522522 5:0.0022522522522522522 6:0.0022522522522522522 7:0.0022522522522522522 9:0.0022522522522522522 10:0.0022522522522522522
AP890104-0191 4:0.4058704453441296 16:0.11842105263157894 6:0.11032388663967611 3:0.1062753036437247 17:0.06983805668016195 10:0.06578947368421052 15:0.03744939271255061 7:0.029352226720647773 12:0.013157894736842105 14:0.009109311740890687 18:0.005060728744939271 19:0.005060728744939271 0:0.005060728744939271 1:0.005060728744939271 5:0.005060728744939271 9:0.005060728744939271 11:0.0010121457489878543 13:0.0010121457489878543 2:0.0010121457489878543 8:0.0010121457489878543
AP890104-0250 17:0.6599099099099099 3:0.11936936936936937 14:0.09234234234234234 8:0.038288288288288286 12:0.02027027027027027 15:0.02027027027027027 9:0.02027027027027027 11:0.0022522522522522522 13:0.0022522522522522522 16:0.0022522522522522522 18:0.0022522522522522522 19:0.0022522522522522522 0:0.0022522522522522522 1:0.0022522522522522522 2:0.0022522522522522522 4:0.0022522522522522522 5:0.0022522522522522522 6:0.0022522522522522522 7:0.0022522522522522522 10:0.0022522522522522522
AP890104-0275 5:0.30067567567567566 18:0.24662162162162163 3:0.19256756756756757 15:0.11148648648648649 8:0.057432432432432436 6:0.016891891891891893 9:0.016891891891891893 10:0.016891891891891893 11:0.0033783783783783786 12:0.0033783783783783786 13:0.0033783783783783786 14:0.0033783783783783786 16:0.0033783783783783786 17:0.0033783783783783786 19:0.0033783783783783786 0:0.0033783783783783786 1:0.0033783783783783786 2:0.0033783783783783786 4:0.0033783783783783786 7:0.0033783783783783786
AP890105-0031 17:0.3507751937984496 19:0.14147286821705427 8:0.11046511627906977 7:0.10271317829457365 9:0.09496124031007752 13:0.07170542635658915 3:0.0562015503875969 12:0.01744186046511628 15:0.009689922480620155 16:0.009689922480620155 4:0.009689922480620155 5:0.009689922480620155 11:0.001937984496124031 14:0.001937984496124031 18:0.001937984496124031 0:0.001937984496124031 1:0.001937984496124031 2:0.001937984496124031 6:0.001937984496124031 10:0.001937984496124031
