85	 Q0	AP890301-0215	1	9.166927372118085	 Exp
85	 Q0	AP890520-0007	2	8.705678047003744	 Exp
85	 Q0	AP890527-0048	3	8.582347553214486	 Exp
85	 Q0	AP891212-0162	4	8.58134409794469	 Exp
85	 Q0	AP890220-0143	5	8.522247903552959	 Exp
85	 Q0	AP890525-0031	6	8.386452731732744	 Exp
85	 Q0	AP890724-0073	7	8.338279004395753	 Exp
85	 Q0	AP890203-0243	8	8.332832362088375	 Exp
85	 Q0	AP890503-0182	9	8.035345046538442	 Exp
85	 Q0	AP891103-0101	10	8.023007491358442	 Exp
85	 Q0	AP890915-0075	11	7.812017029840131	 Exp
85	 Q0	AP891011-0056	12	7.737795363715421	 Exp
85	 Q0	AP890822-0054	13	7.667711005320706	 Exp
85	 Q0	AP890705-0130	14	7.649906883016182	 Exp
85	 Q0	AP891108-0007	15	7.646110560325731	 Exp
85	 Q0	AP890410-0081	16	7.590010725711043	 Exp
85	 Q0	AP891220-0076	17	7.58510211670987	 Exp
85	 Q0	AP890621-0127	18	7.578465822012533	 Exp
85	 Q0	AP890921-0085	19	7.55238377203546	 Exp
85	 Q0	AP890104-0031	20	7.4805944366005654	 Exp
85	 Q0	AP890216-0050	21	7.421136177654303	 Exp
85	 Q0	AP890302-0026	22	7.388588511651195	 Exp
85	 Q0	AP890222-0122	23	7.380035231482019	 Exp
85	 Q0	AP890530-0167	24	7.3294996683532325	 Exp
85	 Q0	AP890715-0008	25	7.318479703028336	 Exp
85	 Q0	AP891221-0133	26	7.298575201890449	 Exp
85	 Q0	AP891004-0162	27	7.297035854232112	 Exp
85	 Q0	AP891206-0127	28	7.28668452045409	 Exp
85	 Q0	AP891007-0007	29	7.284636805493476	 Exp
85	 Q0	AP890504-0024	30	7.282427274600969	 Exp
85	 Q0	AP890731-0042	31	7.248702682061861	 Exp
85	 Q0	AP891010-0107	32	7.243586966124962	 Exp
85	 Q0	AP890131-0031	33	7.238371430679715	 Exp
85	 Q0	AP890412-0196	34	7.203501299132922	 Exp
85	 Q0	AP890424-0135	35	7.181658271883112	 Exp
85	 Q0	AP890720-0157	36	7.147752105484124	 Exp
85	 Q0	AP890914-0001	37	7.106498758843835	 Exp
85	 Q0	AP890414-0097	38	7.100563304472584	 Exp
85	 Q0	AP890214-0122	39	7.083387331874066	 Exp
85	 Q0	AP891009-0090	40	7.045932932281002	 Exp
85	 Q0	AP890129-0035	41	7.042768587346197	 Exp
85	 Q0	AP890105-0287	42	7.038333680633533	 Exp
85	 Q0	AP890313-0224	43	7.030853015234533	 Exp
85	 Q0	AP891213-0271	44	7.020524664634703	 Exp
85	 Q0	AP891205-0128	45	6.981342865578174	 Exp
85	 Q0	AP891225-0110	46	6.9766474406180405	 Exp
85	 Q0	AP890209-0040	47	6.969218230247343	 Exp
85	 Q0	AP891209-0064	48	6.958773310393241	 Exp
85	 Q0	AP890906-0153	49	6.928774379597812	 Exp
85	 Q0	AP890718-0237	50	6.889293463943218	 Exp
85	 Q0	AP891221-0239	51	6.85259512416761	 Exp
85	 Q0	AP890221-0207	52	6.840148740718622	 Exp
85	 Q0	AP890811-0076	53	6.8344932559524	 Exp
85	 Q0	AP891011-0167	54	6.826749772460293	 Exp
85	 Q0	AP891109-0169	55	6.825819345805343	 Exp
85	 Q0	AP891109-0096	56	6.796666842931666	 Exp
