AP890101-0036 6:0.3537344398340249 9:0.18775933609958506 14:0.16701244813278007 2:0.12551867219917012 13:0.10062240663900415 1:0.03008298755186722 8:0.013485477178423237 12:0.005186721991701245 19:0.005186721991701245 11:0.001037344398340249 15:0.001037344398340249 16:0.001037344398340249 17:0.001037344398340249 18:0.001037344398340249 0:0.001037344398340249 3:0.001037344398340249 4:0.001037344398340249 5:0.001037344398340249 7:0.001037344398340249 10:0.001037344398340249
AP890102-0019 18:0.4331081081081081 14:0.31148648648648647 4:0.05202702702702703 19:0.04121621621621622 17:0.03581081081081081 7:0.027702702702702704 13:0.0222972972972973 5:0.019594594594594596 8:0.01418918918918919 12:0.008783783783783784 16:0.006081081081081081 9:0.006081081081081081 10:0.006081081081081081 15:0.0033783783783783786 0:0.0033783783783783786 2:0.0033783783783783786 3:0.0033783783783783786 11:6.756756756756757E-4 1:6.756756756756757E-4 6:6.756756756756757E-4
AP890102-0065 18:0.328125 5:0.3003472222222222 14:0.1892361111111111 7:0.050347222222222224 9:0.050347222222222224 13:0.015625 11:0.008680555555555556 19:0.008680555555555556 1:0.008680555555555556 6:0.008680555555555556 8:0.008680555555555556 10:0.008680555555555556 12:0.001736111111111111 15:0.001736111111111111 16:0.001736111111111111 17:0.001736111111111111 0:0.001736111111111111 2:0.001736111111111111 3:0.001736111111111111 4:0.001736111111111111
AP890103-0025 3:0.2344559585492228 14:0.172279792746114 19:0.16709844559585493 17:0.07383419689119171 7:0.07383419689119171 1:0.06865284974093264 9:0.06865284974093264 2:0.03238341968911917 16:0.027202072538860103 11:0.022020725388601035 18:0.022020725388601035 4:0.01683937823834197 0:0.006476683937823834 10:0.006476683937823834 12:0.0012953367875647669 13:0.0012953367875647669 15:0.0012953367875647669 5:0.0012953367875647669 6:0.0012953367875647669 8:0.0012953367875647669
AP890103-0237 17:0.2591743119266055 11:0.15825688073394495 2:0.15825688073394495 13:0.13073394495412843 16:0.11238532110091744 18:0.0389908256880734 3:0.0389908256880734 8:0.0389908256880734 15:0.020642201834862386 14:0.011467889908256881 1:0.011467889908256881 12:0.0022935779816513763 19:0.0022935779816513763 0:0.0022935779816513763 4:0.0022935779816513763 5:0.0022935779816513763 6:0.0022935779816513763 7:0.0022935779816513763 9:0.0022935779816513763 10:0.0022935779816513763
AP890104-0054 6:0.5711382113821138 14:0.09959349593495935 9:0.06707317073170732 13:0.05894308943089431 15:0.05894308943089431 4:0.042682926829268296 1:0.034552845528455285 3:0.018292682926829267 11:0.01016260162601626 5:0.01016260162601626 7:0.01016260162601626 12:0.0020325203252032522 16:0.0020325203252032522 17:0.0020325203252032522 18:0.0020325203252032522 19:0.0020325203252032522 0:0.0020325203252032522 2:0.0020325203252032522 8:0.0020325203252032522 10:0.0020325203252032522
AP890104-0071 3:0.3915094339622642 6:0.21540880503144655 2:0.12106918238993711 8:0.06446540880503145 13:0.05817610062893082 7:0.04559748427672956 15:0.026729559748427674 1:0.020440251572327043 4:0.020440251572327043 14:0.007861635220125786 18:0.007861635220125786 19:0.007861635220125786 11:0.0015723270440251573 12:0.0015723270440251573 16:0.0015723270440251573 17:0.0015723270440251573 0:0.0015723270440251573 5:0.0015723270440251573 9:0.0015723270440251573 10:0.0015723270440251573
AP890104-0216 9:0.28983228511530396 0:0.1430817610062893 1:0.1179245283018868 14:0.11582809224318659 17:0.08228511530398323 10:0.04245283018867924 2:0.04035639412997904 15:0.029874213836477988 18:0.027777777777777776 8:0.02358490566037736 12:0.02148846960167715 4:0.01939203354297694 13:0.01729559748427673 3:0.01519916142557652 6:0.00890985324947589 7:0.002620545073375262 11:5.241090146750524E-4 16:5.241090146750524E-4 19:5.241090146750524E-4 5:5.241090146750524E-4
AP890105-0257 8:0.39401622718052737 2:0.172920892494929 14:0.11612576064908722 17:0.0938133874239351 7:0.08569979716024341 16:0.049188640973630834 15:0.04310344827586207 3:0.014705882352941176 1:0.006592292089249493 6:0.006592292089249493 10:0.006592292089249493 11:0.002535496957403651 19:0.002535496957403651 0:0.002535496957403651 12:5.070993914807302E-4 13:5.070993914807302E-4 18:5.070993914807302E-4 4:5.070993914807302E-4 5:5.070993914807302E-4 9:5.070993914807302E-4
AP890106-0160 16:0.4987179487179487 6:0.12435897435897436 13:0.11923076923076924 2:0.09871794871794871 14:0.07307692307692308 18:0.03717948717948718 15:0.016666666666666666 1:0.00641025641025641 7:0.00641025641025641 10:0.00641025641025641 11:0.001282051282051282 12:0.001282051282051282 17:0.001282051282051282 19:0.001282051282051282 0:0.001282051282051282 3:0.001282051282051282 4:0.001282051282051282 5:0.001282051282051282 8:0.001282051282051282 9:0.001282051282051282
AP890107-0010 7:0.4265 14:0.1605 15:0.1105 16:0.0785 2:0.0545 6:0.0545 8:0.0465 9:0.0345 1:0.0085 3:0.0065 18:0.0045 0:0.0045 11:0.0025 17:0.0025 4:0.0025 12:5.0E-4 13:5.0E-4 19:5.0E-4 5:5.0E-4 10:5.0E-4
