85	 Q0	AP890206-0065	1	0.04263874160480735	 Proxi
85	 Q0	AP890808-0004	2	0.04034141845225318	 Proxi
85	 Q0	AP890901-0168	3	0.03783903255344005	 Proxi
85	 Q0	AP890607-0170	4	0.03782876046414727	 Proxi
85	 Q0	AP890714-0124	5	0.03781095784811166	 Proxi
85	 Q0	AP890118-0229	6	0.0377559025229648	 Proxi
85	 Q0	AP891102-0229	7	0.03773203942304052	 Proxi
85	 Q0	AP891106-0059	8	0.03773084907029421	 Proxi
85	 Q0	AP890401-0001	9	0.037721767180038585	 Proxi
85	 Q0	AP890222-0122	10	0.03770771466481329	 Proxi
85	 Q0	AP890516-0199	11	0.03752217305397915	 Proxi
85	 Q0	AP890220-0143	12	0.037275096793784955	 Proxi
85	 Q0	AP890819-0151	13	0.03727209639770362	 Proxi
85	 Q0	AP891204-0112	14	0.03726543416376846	 Proxi
85	 Q0	AP890805-0038	15	0.03726032937726716	 Proxi
85	 Q0	AP890211-0092	16	0.037130929408351936	 Proxi
85	 Q0	AP890714-0044	17	0.037097874706224256	 Proxi
85	 Q0	AP890904-0081	18	0.03709416405380803	 Proxi
85	 Q0	AP890530-0201	19	0.037067685796405674	 Proxi
85	 Q0	AP890915-0075	20	0.03687975531457749	 Proxi
85	 Q0	AP890516-0238	21	0.03685879217350664	 Proxi
85	 Q0	AP891230-0030	22	0.036764101234114964	 Proxi
85	 Q0	AP890731-0042	23	0.036694465504169826	 Proxi
85	 Q0	AP890722-0093	24	0.03663045333029975	 Proxi
85	 Q0	AP890218-0015	25	0.03651502612277388	 Proxi
85	 Q0	AP891114-0142	26	0.03638802080038463	 Proxi
85	 Q0	AP891128-0061	27	0.03626789243387613	 Proxi
85	 Q0	AP890624-0048	28	0.03617806073467738	 Proxi
85	 Q0	AP890528-0005	29	0.03613476677167044	 Proxi
85	 Q0	AP890609-0161	30	0.03608110668940686	 Proxi
85	 Q0	AP890703-0156	31	0.036051512988776534	 Proxi
85	 Q0	AP890520-0007	32	0.03602328241621427	 Proxi
85	 Q0	AP890629-0090	33	0.03590491892335778	 Proxi
85	 Q0	AP890629-0223	34	0.03589108910891089	 Proxi
85	 Q0	AP891230-0081	35	0.03588226369291458	 Proxi
