AP890101-0014 2:0.26444723618090454 13:0.21168341708542712 9:0.16896984924623115 18:0.11871859296482412 15:0.05339195979899498 17:0.04585427135678392 8:0.04585427135678392 14:0.025753768844221106 1:0.023241206030150754 11:0.008165829145728644 16:0.008165829145728644 5:0.008165829145728644 0:0.005653266331658292 3:0.00314070351758794 7:0.00314070351758794 10:0.00314070351758794 12:6.28140703517588E-4 19:6.28140703517588E-4 4:6.28140703517588E-4 6:6.28140703517588E-4
AP890102-0149 6:0.27448453608247425 16:0.18685567010309279 1:0.125 19:0.10438144329896908 10:0.08376288659793814 12:0.06314432989690721 18:0.037371134020618556 3:0.03221649484536082 8:0.027061855670103094 9:0.027061855670103094 0:0.02190721649484536 14:0.006443298969072165 11:0.001288659793814433 13:0.001288659793814433 15:0.001288659793814433 17:0.001288659793814433 2:0.001288659793814433 4:0.001288659793814433 5:0.001288659793814433 7:0.001288659793814433
AP890103-0107 16:0.3358516483516483 18:0.2506868131868132 9:0.08585164835164835 19:0.08035714285714286 15:0.06936813186813187 8:0.05013736263736264 12:0.036401098901098904 1:0.02815934065934066 11:0.014423076923076924 3:0.014423076923076924 0:0.008928571428571428 4:0.008928571428571428 13:0.006181318681318681 17:0.003434065934065934 6:0.003434065934065934 14:6.868131868131869E-4 2:6.868131868131869E-4 5:6.868131868131869E-4 7:6.868131868131869E-4 10:6.868131868131869E-4
AP890104-0085 7:0.29705882352941176 2:0.2735294117647059 5:0.15588235294117647 18:0.07352941176470588 13:0.05 14:0.05 19:0.026470588235294117 4:0.026470588235294117 3:0.014705882352941176 11:0.0029411764705882353 12:0.0029411764705882353 15:0.0029411764705882353 16:0.0029411764705882353 17:0.0029411764705882353 0:0.0029411764705882353 1:0.0029411764705882353 6:0.0029411764705882353 8:0.0029411764705882353 9:0.0029411764705882353 10:0.0029411764705882353
AP890104-0121 15:0.6143867924528302 4:0.10023584905660378 9:0.08136792452830188 13:0.05306603773584906 17:0.03419811320754717 18:0.024764150943396228 19:0.020047169811320754 3:0.020047169811320754 12:0.01061320754716981 14:0.01061320754716981 8:0.01061320754716981 1:0.00589622641509434 7:0.00589622641509434 11:0.0011792452830188679 16:0.0011792452830188679 0:0.0011792452830188679 2:0.0011792452830188679 5:0.0011792452830188679 6:0.0011792452830188679 10:0.0011792452830188679
AP890104-0130 15:0.7921052631578948 1:0.05526315789473684 5:0.04473684210526316 11:0.02368421052631579 9:0.02368421052631579 18:0.013157894736842105 6:0.013157894736842105 12:0.002631578947368421 13:0.002631578947368421 14:0.002631578947368421 16:0.002631578947368421 17:0.002631578947368421 19:0.002631578947368421 0:0.002631578947368421 2:0.002631578947368421 3:0.002631578947368421 4:0.002631578947368421 7:0.002631578947368421 8:0.002631578947368421 10:0.002631578947368421
AP890104-0166 16:0.42065868263473055 15:0.18113772455089822 12:0.06736526946107785 18:0.06736526946107785 19:0.06736526946107785 9:0.04341317365269461 4:0.0374251497005988 1:0.03143712574850299 5:0.03143712574850299 2:0.01347305389221557 0:0.0074850299401197605 3:0.0074850299401197605 7:0.0074850299401197605 10:0.0074850299401197605 11:0.0014970059880239522 13:0.0014970059880239522 14:0.0014970059880239522 17:0.0014970059880239522 6:0.0014970059880239522 8:0.0014970059880239522
AP890104-0197 5:0.28914141414141414 9:0.2537878787878788 15:0.11237373737373738 17:0.10732323232323232 19:0.06186868686868687 4:0.036616161616161616 18:0.03156565656565657 8:0.03156565656565657 2:0.026515151515151516 11:0.016414141414141416 12:0.006313131313131313 13:0.006313131313131313 1:0.006313131313131313 3:0.006313131313131313 14:0.0012626262626262627 16:0.0012626262626262627 0:0.0012626262626262627 6:0.0012626262626262627 7:0.0012626262626262627 10:0.0012626262626262627
AP890105-0011 10:0.5496632996632996 18:0.20286195286195285 11:0.09511784511784512 7:0.061447811447811446 9:0.041245791245791245 17:0.017676767676767676 12:0.01430976430976431 15:0.004208754208754209 2:0.004208754208754209 13:8.417508417508417E-4 14:8.417508417508417E-4 16:8.417508417508417E-4 19:8.417508417508417E-4 0:8.417508417508417E-4 1:8.417508417508417E-4 3:8.417508417508417E-4 4:8.417508417508417E-4 5:8.417508417508417E-4 6:8.417508417508417E-4 8:8.417508417508417E-4
AP890105-0061 2:0.4627659574468085 9:0.15780141843971632 15:0.12943262411347517 12:0.09397163120567376 18:0.0797872340425532 1:0.030141843971631204 13:0.008865248226950355 19:0.008865248226950355 7:0.008865248226950355 11:0.0017730496453900709 14:0.0017730496453900709 16:0.0017730496453900709 17:0.0017730496453900709 0:0.0017730496453900709 3:0.0017730496453900709 4:0.0017730496453900709 5:0.0017730496453900709 6:0.0017730496453900709 8:0.0017730496453900709 10:0.0017730496453900709
AP890105-0072 15:0.4883419689119171 17:0.16709844559585493 9:0.15155440414507773 2:0.042746113989637305 14:0.03756476683937824 13:0.022020725388601035 4:0.022020725388601035 0:0.01683937823834197 3:0.01683937823834197 11:0.011658031088082901 1:0.006476683937823834 7:0.006476683937823834 12:0.0012953367875647669 16:0.0012953367875647669 18:0.0012953367875647669 19:0.0012953367875647669 5:0.0012953367875647669 6:0.0012953367875647669 8:0.0012953367875647669 10:0.0012953367875647669
AP890105-0098 15:0.5673913043478261 2:0.11521739130434783 9:0.09782608695652174 17:0.08043478260869565 4:0.03695652173913044 13:0.02826086956521739 5:0.01956521739130435 11:0.010869565217391304 14:0.010869565217391304 18:0.010869565217391304 12:0.002173913043478261 16:0.002173913043478261 19:0.002173913043478261 0:0.002173913043478261 1:0.002173913043478261 3:0.002173913043478261 6:0.002173913043478261 7:0.002173913043478261 8:0.002173913043478261 10:0.002173913043478261
AP890105-0272 8:0.4797297297297297 17:0.11036036036036036 1:0.08333333333333333 6:0.07432432432432433 9:0.06531531531531531 18:0.0472972972972973 3:0.0472972972972973 19:0.02027027027027027 11:0.01126126126126126 14:0.01126126126126126 16:0.01126126126126126 7:0.01126126126126126 10:0.01126126126126126 12:0.0022522522522522522 13:0.0022522522522522522 15:0.0022522522522522522 0:0.0022522522522522522 2:0.0022522522522522522 4:0.0022522522522522522 5:0.0022522522522522522
AP890105-0279 8:0.34030837004405284 10:0.19933920704845814 18:0.17731277533039647 9:0.08480176211453745 6:0.08039647577092511 1:0.03634361233480176 4:0.023127753303964757 3:0.014317180616740088 11:0.009911894273127754 14:0.005506607929515419 16:0.005506607929515419 17:0.005506607929515419 2:0.005506607929515419 5:0.005506607929515419 12:0.0011013215859030838 13:0.0011013215859030838 15:0.0011013215859030838 19:0.0011013215859030838 0:0.0011013215859030838 7:0.0011013215859030838
AP890107-0009 15:0.7208994708994709 9:0.1335978835978836 3:0.04365079365079365 1:0.03306878306878307 7:0.017195767195767195 4:0.011904761904761904 5:0.011904761904761904 8:0.011904761904761904 11:0.0013227513227513227 12:0.0013227513227513227 13:0.0013227513227513227 14:0.0013227513227513227 16:0.0013227513227513227 17:0.0013227513227513227 18:0.0013227513227513227 19:0.0013227513227513227 0:0.0013227513227513227 2:0.0013227513227513227 6:0.0013227513227513227 10:0.0013227513227513227
AP890107-0069 16:0.3848870056497175 9:0.1843220338983051 18:0.17584745762711865 2:0.11087570621468927 19:0.0713276836158192 6:0.020480225988700564 1:0.014830508474576272 3:0.012005649717514125 4:0.009180790960451978 0:0.0035310734463276836 5:0.0035310734463276836 10:0.0035310734463276836 11:7.062146892655367E-4 12:7.062146892655367E-4 13:7.062146892655367E-4 14:7.062146892655367E-4 15:7.062146892655367E-4 17:7.062146892655367E-4 7:7.062146892655367E-4 8:7.062146892655367E-4
AP890108-0042 5:0.40450643776824036 9:0.21566523605150215 18:0.1255364806866953 2:0.06974248927038626 15:0.06545064377682404 10:0.02682403433476395 4:0.022532188841201718 17:0.013948497854077254 8:0.013948497854077254 12:0.009656652360515022 16:0.009656652360515022 3:0.009656652360515022 6:0.00536480686695279 11:0.001072961373390558 13:0.001072961373390558 14:0.001072961373390558 19:0.001072961373390558 0:0.001072961373390558 1:0.001072961373390558 7:0.001072961373390558
AP890108-0048 16:0.4361924686192469 12:0.13493723849372385 9:0.09728033472803348 15:0.08054393305439331 18:0.06380753138075314 2:0.04707112970711297 0:0.034518828451882845 14:0.030334728033472803 1:0.01778242677824268 5:0.013598326359832637 19:0.009414225941422594 10:0.009414225941422594 11:0.005230125523012552 3:0.005230125523012552 6:0.005230125523012552 7:0.005230125523012552 13:0.0010460251046025104 17:0.0010460251046025104 4:0.0010460251046025104 8:0.0010460251046025104
AP890108-0066 16:0.384375 9:0.18854166666666666 15:0.146875 2:0.12604166666666666 19:0.042708333333333334 12:0.03854166666666667 1:0.026041666666666668 6:0.021875 17:0.005208333333333333 18:0.005208333333333333 0:0.005208333333333333 11:0.0010416666666666667 13:0.0010416666666666667 14:0.0010416666666666667 3:0.0010416666666666667 4:0.0010416666666666667 5:0.0010416666666666667 7:0.0010416666666666667 8:0.0010416666666666667 10:0.0010416666666666667
AP890109-0245 16:0.37857142857142856 15:0.15571428571428572 2:0.1442857142857143 9:0.10428571428571429 18:0.05285714285714286 11:0.03 13:0.03 19:0.03 6:0.018571428571428572 12:0.012857142857142857 17:0.012857142857142857 4:0.012857142857142857 1:0.007142857142857143 14:0.0014285714285714286 0:0.0014285714285714286 3:0.0014285714285714286 5:0.0014285714285714286 7:0.0014285714285714286 8:0.0014285714285714286 10:0.0014285714285714286
AP890110-0031 18:0.5485507246376812 1:0.20072463768115942 10:0.07898550724637682 14:0.041304347826086954 0:0.041304347826086954 9:0.03840579710144928 12:0.02681159420289855 19:0.012318840579710146 13:0.0036231884057971015 11:7.246376811594203E-4 15:7.246376811594203E-4 16:7.246376811594203E-4 17:7.246376811594203E-4 2:7.246376811594203E-4 3:7.246376811594203E-4 4:7.246376811594203E-4 5:7.246376811594203E-4 6:7.246376811594203E-4 7:7.246376811594203E-4 8:7.246376811594203E-4
AP890110-0114 8:0.4027777777777778 2:0.2978395061728395 9:0.08796296296296297 6:0.08179012345679013 5:0.05709876543209876 15:0.038580246913580245 4:0.013888888888888888 11:0.0015432098765432098 12:0.0015432098765432098 13:0.0015432098765432098 14:0.0015432098765432098 16:0.0015432098765432098 17:0.0015432098765432098 18:0.0015432098765432098 19:0.0015432098765432098 0:0.0015432098765432098 1:0.0015432098765432098 3:0.0015432098765432098 7:0.0015432098765432098 10:0.0015432098765432098
AP890110-0121 2:0.34698275862068967 17:0.15732758620689655 15:0.1400862068965517 9:0.0625 18:0.05387931034482758 4:0.05387931034482758 1:0.036637931034482756 8:0.028017241379310345 11:0.01939655172413793 0:0.01939655172413793 5:0.01939655172413793 7:0.01939655172413793 10:0.01939655172413793 13:0.010775862068965518 12:0.0021551724137931034 14:0.0021551724137931034 16:0.0021551724137931034 19:0.0021551724137931034 3:0.0021551724137931034 6:0.0021551724137931034
AP890110-0167 10:0.47601279317697226 18:0.31823027718550106 0:0.08582089552238806 11:0.036780383795309166 7:0.03251599147121535 9:0.013326226012793176 15:0.00906183368869936 14:0.006929637526652452 6:0.006929637526652452 8:0.004797441364605544 1:0.0026652452025586353 4:0.0026652452025586353 12:5.330490405117271E-4 13:5.330490405117271E-4 16:5.330490405117271E-4 17:5.330490405117271E-4 19:5.330490405117271E-4 2:5.330490405117271E-4 3:5.330490405117271E-4 5:5.330490405117271E-4
AP890110-0236 1:0.9913321167883211 11:4.562043795620438E-4 12:4.562043795620438E-4 13:4.562043795620438E-4 14:4.562043795620438E-4 15:4.562043795620438E-4 16:4.562043795620438E-4 17:4.562043795620438E-4 18:4.562043795620438E-4 19:4.562043795620438E-4 0:4.562043795620438E-4 2:4.562043795620438E-4 3:4.562043795620438E-4 4:4.562043795620438E-4 5:4.562043795620438E-4 6:4.562043795620438E-4 7:4.562043795620438E-4 8:4.562043795620438E-4 9:4.562043795620438E-4 10:4.562043795620438E-4
