AP890103-0012 8:0.21118421052631578 11:0.1875 12:0.17171052631578948 17:0.11644736842105263 9:0.09013157894736842 15:0.05592105263157895 16:0.0506578947368421 2:0.04276315789473684 4:0.021710526315789475 5:0.01381578947368421 13:0.008552631578947369 3:0.008552631578947369 19:0.0059210526315789476 6:0.0059210526315789476 14:0.003289473684210526 1:0.003289473684210526 18:6.578947368421052E-4 0:6.578947368421052E-4 7:6.578947368421052E-4 10:6.578947368421052E-4
AP890104-0024 19:0.27541208791208793 11:0.15178571428571427 0:0.14354395604395603 8:0.13804945054945056 7:0.09134615384615384 14:0.04739010989010989 15:0.044642857142857144 5:0.025412087912087912 9:0.025412087912087912 16:0.017170329670329672 1:0.017170329670329672 12:0.008928571428571428 13:0.003434065934065934 18:0.003434065934065934 6:0.003434065934065934 17:6.868131868131869E-4 2:6.868131868131869E-4 3:6.868131868131869E-4 4:6.868131868131869E-4 10:6.868131868131869E-4
AP890104-0035 11:0.2345360824742268 19:0.18986254295532645 14:0.18642611683848798 7:0.14518900343642613 9:0.10738831615120274 3:0.05584192439862543 8:0.0352233676975945 16:0.014604810996563574 4:0.014604810996563574 5:0.007731958762886598 12:8.59106529209622E-4 13:8.59106529209622E-4 15:8.59106529209622E-4 17:8.59106529209622E-4 18:8.59106529209622E-4 0:8.59106529209622E-4 1:8.59106529209622E-4 2:8.59106529209622E-4 6:8.59106529209622E-4 10:8.59106529209622E-4
AP890104-0109 14:0.49038461538461536 2:0.11346153846153846 19:0.11089743589743589 9:0.11089743589743589 11:0.05448717948717949 17:0.041666666666666664 15:0.028846153846153848 4:0.023717948717948717 8:0.008333333333333333 6:0.0057692307692307696 16:0.003205128205128205 5:0.003205128205128205 12:6.41025641025641E-4 13:6.41025641025641E-4 18:6.41025641025641E-4 0:6.41025641025641E-4 1:6.41025641025641E-4 3:6.41025641025641E-4 7:6.41025641025641E-4 10:6.41025641025641E-4
AP890104-0123 14:0.32264957264957267 2:0.26282051282051283 19:0.10897435897435898 9:0.06054131054131054 16:0.051994301994301995 11:0.04344729344729345 12:0.03774928774928775 6:0.0292022792022792 5:0.026353276353276354 7:0.023504273504273504 15:0.020655270655270654 3:0.0035612535612535613 8:0.0035612535612535613 13:7.122507122507123E-4 17:7.122507122507123E-4 18:7.122507122507123E-4 0:7.122507122507123E-4 1:7.122507122507123E-4 4:7.122507122507123E-4 10:7.122507122507123E-4
AP890104-0163 14:0.5767937219730942 2:0.14405829596412556 19:0.13060538116591927 9:0.06109865470852018 17:0.018497757847533634 0:0.014013452914798207 5:0.014013452914798207 3:0.011771300448430493 4:0.00952914798206278 11:0.0072869955156950675 15:0.005044843049327354 6:0.002802690582959641 12:5.605381165919282E-4 13:5.605381165919282E-4 16:5.605381165919282E-4 18:5.605381165919282E-4 1:5.605381165919282E-4 7:5.605381165919282E-4 8:5.605381165919282E-4 10:5.605381165919282E-4
AP890104-0207 11:0.17912946428571427 9:0.16796875 14:0.15457589285714285 4:0.12332589285714286 18:0.08984375 12:0.06752232142857142 8:0.06529017857142858 3:0.04743303571428571 15:0.04296875 0:0.03180803571428571 5:0.013950892857142858 7:0.009486607142857142 19:0.0027901785714285715 13:5.580357142857143E-4 16:5.580357142857143E-4 17:5.580357142857143E-4 1:5.580357142857143E-4 2:5.580357142857143E-4 6:5.580357142857143E-4 10:5.580357142857143E-4
AP890105-0125 14:0.5827114427860697 19:0.1623134328358209 9:0.12748756218905472 2:0.05534825870646766 11:0.020522388059701493 4:0.01554726368159204 16:0.010572139303482588 3:0.005597014925373134 8:0.005597014925373134 13:0.003109452736318408 0:0.003109452736318408 10:0.003109452736318408 12:6.218905472636816E-4 15:6.218905472636816E-4 17:6.218905472636816E-4 18:6.218905472636816E-4 1:6.218905472636816E-4 5:6.218905472636816E-4 6:6.218905472636816E-4 7:6.218905472636816E-4
AP890105-0173 7:0.5980113636363636 9:0.17755681818181818 16:0.05823863636363636 11:0.041193181818181816 14:0.041193181818181816 12:0.024147727272727272 5:0.018465909090909092 3:0.01278409090909091 13:0.007102272727272727 2:0.007102272727272727 15:0.0014204545454545455 17:0.0014204545454545455 18:0.0014204545454545455 19:0.0014204545454545455 0:0.0014204545454545455 1:0.0014204545454545455 4:0.0014204545454545455 6:0.0014204545454545455 8:0.0014204545454545455 10:0.0014204545454545455
AP890106-0021 0:0.21517857142857144 12:0.19375 15:0.17232142857142857 14:0.15089285714285713 11:0.06160714285714286 9:0.05803571428571429 2:0.04375 16:0.029464285714285714 5:0.029464285714285714 3:0.025892857142857145 4:0.008035714285714285 13:0.004464285714285714 17:8.928571428571428E-4 18:8.928571428571428E-4 19:8.928571428571428E-4 1:8.928571428571428E-4 6:8.928571428571428E-4 7:8.928571428571428E-4 8:8.928571428571428E-4 10:8.928571428571428E-4
AP890106-0023 7:0.5335051546391752 19:0.18642611683848798 9:0.1211340206185567 11:0.03865979381443299 14:0.028350515463917526 5:0.02147766323024055 16:0.01804123711340206 8:0.01804123711340206 3:0.011168384879725086 12:0.00429553264604811 15:0.00429553264604811 17:0.00429553264604811 18:0.00429553264604811 13:8.59106529209622E-4 0:8.59106529209622E-4 1:8.59106529209622E-4 2:8.59106529209622E-4 4:8.59106529209622E-4 6:8.59106529209622E-4 10:8.59106529209622E-4
AP890106-0142 15:0.514 7:0.146 16:0.098 19:0.098 11:0.05 9:0.05 14:0.01 5:0.01 12:0.002 13:0.002 17:0.002 18:0.002 0:0.002 1:0.002 2:0.002 3:0.002 4:0.002 6:0.002 8:0.002 10:0.002
AP890108-0035 19:0.4880653266331658 3:0.146356783919598 7:0.0885678391959799 11:0.055904522613065326 9:0.05087939698492462 14:0.035804020100502515 4:0.03329145728643216 0:0.023241206030150754 2:0.0207286432160804 10:0.0207286432160804 8:0.013190954773869347 12:0.005653266331658292 15:0.005653266331658292 18:0.005653266331658292 16:0.00314070351758794 13:6.28140703517588E-4 17:6.28140703517588E-4 1:6.28140703517588E-4 5:6.28140703517588E-4 6:6.28140703517588E-4
AP890109-0054 7:0.42903930131004364 11:0.21069868995633187 19:0.1277292576419214 14:0.08406113537117904 3:0.04912663755458515 16:0.04475982532751092 9:0.027292576419213975 0:0.014192139737991267 12:0.001091703056768559 13:0.001091703056768559 15:0.001091703056768559 17:0.001091703056768559 18:0.001091703056768559 1:0.001091703056768559 2:0.001091703056768559 4:0.001091703056768559 5:0.001091703056768559 6:0.001091703056768559 8:0.001091703056768559 10:0.001091703056768559
AP890109-0292 8:0.3157051282051282 15:0.1875 11:0.11057692307692307 14:0.09134615384615384 3:0.09134615384615384 2:0.05929487179487179 4:0.046474358974358976 18:0.027243589743589744 9:0.027243589743589744 5:0.014423076923076924 19:0.008012820512820512 6:0.008012820512820512 12:0.0016025641025641025 13:0.0016025641025641025 16:0.0016025641025641025 17:0.0016025641025641025 0:0.0016025641025641025 1:0.0016025641025641025 7:0.0016025641025641025 10:0.0016025641025641025
AP890110-0019 14:0.358695652173913 11:0.2148829431438127 9:0.16137123745819398 19:0.10451505016722408 7:0.0677257525083612 0:0.027591973244147156 6:0.027591973244147156 2:0.017558528428093644 3:0.010869565217391304 12:8.361204013377926E-4 13:8.361204013377926E-4 15:8.361204013377926E-4 16:8.361204013377926E-4 17:8.361204013377926E-4 18:8.361204013377926E-4 1:8.361204013377926E-4 4:8.361204013377926E-4 5:8.361204013377926E-4 8:8.361204013377926E-4 10:8.361204013377926E-4
AP890110-0212 14:0.26310483870967744 9:0.19455645161290322 8:0.17842741935483872 11:0.1622983870967742 0:0.037298387096774195 15:0.03326612903225806 12:0.021169354838709676 4:0.021169354838709676 7:0.021169354838709676 19:0.017137096774193547 2:0.017137096774193547 3:0.017137096774193547 13:0.009072580645161291 16:0.0010080645161290322 17:0.0010080645161290322 18:0.0010080645161290322 1:0.0010080645161290322 5:0.0010080645161290322 6:0.0010080645161290322 10:0.0010080645161290322
AP890111-0057 14:0.3794642857142857 0:0.20089285714285715 16:0.11160714285714286 9:0.05803571428571429 12:0.04017857142857143 19:0.04017857142857143 2:0.04017857142857143 7:0.04017857142857143 18:0.022321428571428572 10:0.022321428571428572 11:0.004464285714285714 13:0.004464285714285714 15:0.004464285714285714 17:0.004464285714285714 1:0.004464285714285714 3:0.004464285714285714 4:0.004464285714285714 5:0.004464285714285714 6:0.004464285714285714 8:0.004464285714285714
AP890111-0085 9:0.14876543209876544 12:0.12407407407407407 14:0.12407407407407407 4:0.12407407407407407 11:0.10679012345679012 0:0.07469135802469136 2:0.07469135802469136 13:0.05493827160493827 7:0.037654320987654324 17:0.03518518518518519 15:0.030246913580246913 6:0.022839506172839506 16:0.017901234567901235 3:0.008024691358024692 10:0.008024691358024692 19:0.0030864197530864196 1:0.0030864197530864196 18:6.172839506172839E-4 5:6.172839506172839E-4 8:6.172839506172839E-4
AP890111-0175 7:0.690677966101695 9:0.18785310734463276 11:0.08050847457627118 19:0.012711864406779662 12:0.007062146892655367 13:0.0014124293785310734 14:0.0014124293785310734 15:0.0014124293785310734 16:0.0014124293785310734 17:0.0014124293785310734 18:0.0014124293785310734 0:0.0014124293785310734 1:0.0014124293785310734 2:0.0014124293785310734 3:0.0014124293785310734 4:0.0014124293785310734 5:0.0014124293785310734 6:0.0014124293785310734 8:0.0014124293785310734 10:0.0014124293785310734
AP890111-0243 8:0.27479338842975204 3:0.15082644628099173 15:0.13429752066115702 14:0.12603305785123967 11:0.10950413223140495 4:0.05991735537190083 12:0.05165289256198347 0:0.04338842975206612 16:0.010330578512396695 19:0.010330578512396695 5:0.010330578512396695 13:0.002066115702479339 17:0.002066115702479339 18:0.002066115702479339 1:0.002066115702479339 2:0.002066115702479339 6:0.002066115702479339 7:0.002066115702479339 9:0.002066115702479339 10:0.002066115702479339
AP890112-0011 7:0.6271929824561403 9:0.20029239766081872 11:0.07163742690058479 19:0.04239766081871345 16:0.024853801169590642 2:0.007309941520467836 3:0.007309941520467836 12:0.0014619883040935672 13:0.0014619883040935672 14:0.0014619883040935672 15:0.0014619883040935672 17:0.0014619883040935672 18:0.0014619883040935672 0:0.0014619883040935672 1:0.0014619883040935672 4:0.0014619883040935672 5:0.0014619883040935672 6:0.0014619883040935672 8:0.0014619883040935672 10:0.0014619883040935672
AP890112-0074 14:0.5540730337078652 9:0.12429775280898876 11:0.07373595505617977 7:0.0625 19:0.04564606741573034 8:0.042837078651685394 15:0.028792134831460675 4:0.028792134831460675 18:0.014747191011235955 5:0.011938202247191011 0:0.006320224719101123 12:7.022471910112359E-4 13:7.022471910112359E-4 16:7.022471910112359E-4 17:7.022471910112359E-4 1:7.022471910112359E-4 2:7.022471910112359E-4 3:7.022471910112359E-4 6:7.022471910112359E-4 10:7.022471910112359E-4
AP890113-0048 7:0.3293269230769231 8:0.25240384615384615 0:0.15625 11:0.0985576923076923 9:0.05048076923076923 15:0.040865384615384616 12:0.01201923076923077 19:0.01201923076923077 1:0.01201923076923077 10:0.01201923076923077 13:0.002403846153846154 14:0.002403846153846154 16:0.002403846153846154 17:0.002403846153846154 18:0.002403846153846154 2:0.002403846153846154 3:0.002403846153846154 4:0.002403846153846154 5:0.002403846153846154 6:0.002403846153846154
AP890114-0064 14:0.28817365269461076 12:0.20434131736526945 9:0.1474550898203593 13:0.11452095808383234 11:0.11152694610778444 0:0.048652694610778445 16:0.015718562874251496 5:0.012724550898203593 8:0.012724550898203593 19:0.009730538922155689 1:0.006736526946107785 3:0.006736526946107785 10:0.006736526946107785 17:0.0037425149700598802 2:0.0037425149700598802 7:0.0037425149700598802 15:7.485029940119761E-4 18:7.485029940119761E-4 4:7.485029940119761E-4 6:7.485029940119761E-4
AP890114-0077 8:0.2410913140311804 4:0.183184855233853 0:0.1475501113585746 9:0.08296213808463251 15:0.06514476614699331 6:0.060690423162583516 19:0.05400890868596882 7:0.04955456570155902 11:0.036191536748329624 14:0.03396436525612472 3:0.022828507795100223 12:0.018374164810690423 13:5.567928730512249E-4 16:5.567928730512249E-4 17:5.567928730512249E-4 18:5.567928730512249E-4 1:5.567928730512249E-4 2:5.567928730512249E-4 5:5.567928730512249E-4 10:5.567928730512249E-4
AP890114-0109 19:0.3090551181102362 0:0.19094488188976377 14:0.13582677165354332 11:0.08858267716535433 8:0.04921259842519685 15:0.04133858267716536 3:0.04133858267716536 4:0.04133858267716536 18:0.025590551181102362 5:0.025590551181102362 2:0.017716535433070866 6:0.017716535433070866 12:0.001968503937007874 13:0.001968503937007874 16:0.001968503937007874 17:0.001968503937007874 1:0.001968503937007874 7:0.001968503937007874 9:0.001968503937007874 10:0.001968503937007874
AP890117-0178 0:0.4768370607028754 6:0.16054313099041534 19:0.1062300319488818 9:0.06469648562300319 12:0.04552715654952077 8:0.03913738019169329 14:0.029552715654952075 11:0.016773162939297124 16:0.013578274760383386 18:0.013578274760383386 2:0.013578274760383386 7:0.010383386581469648 3:0.003993610223642172 13:7.987220447284345E-4 15:7.987220447284345E-4 17:7.987220447284345E-4 1:7.987220447284345E-4 4:7.987220447284345E-4 5:7.987220447284345E-4 10:7.987220447284345E-4
AP890118-0023 19:0.44454887218045114 14:0.21146616541353383 7:0.1212406015037594 11:0.06860902255639098 9:0.05733082706766917 3:0.042293233082706765 8:0.03101503759398496 0:0.008458646616541353 16:0.004699248120300752 12:9.398496240601503E-4 13:9.398496240601503E-4 15:9.398496240601503E-4 17:9.398496240601503E-4 18:9.398496240601503E-4 1:9.398496240601503E-4 2:9.398496240601503E-4 4:9.398496240601503E-4 5:9.398496240601503E-4 6:9.398496240601503E-4 10:9.398496240601503E-4
