AP890101-0025 5:0.3220164609053498 11:0.1697530864197531 16:0.1286008230452675 7:0.12448559670781893 10:0.09156378600823045 3:0.08333333333333333 8:0.029835390946502057 19:0.013374485596707819 2:0.013374485596707819 15:0.0051440329218107 18:0.0051440329218107 0:0.0051440329218107 12:0.00102880658436214 13:0.00102880658436214 14:0.00102880658436214 17:0.00102880658436214 1:0.00102880658436214 4:0.00102880658436214 6:0.00102880658436214 9:0.00102880658436214
AP890102-0002 11:0.3777056277056277 17:0.27813852813852813 7:0.08333333333333333 0:0.07900432900432901 18:0.07034632034632035 1:0.044372294372294376 12:0.027056277056277056 15:0.00974025974025974 2:0.00974025974025974 14:0.005411255411255411 4:0.005411255411255411 13:0.0010822510822510823 16:0.0010822510822510823 19:0.0010822510822510823 3:0.0010822510822510823 5:0.0010822510822510823 6:0.0010822510822510823 8:0.0010822510822510823 9:0.0010822510822510823 10:0.0010822510822510823
AP890103-0046 8:0.348731884057971 7:0.22554347826086957 1:0.09510869565217392 17:0.0552536231884058 15:0.051630434782608696 19:0.04800724637681159 14:0.04076086956521739 12:0.026268115942028984 10:0.026268115942028984 0:0.022644927536231884 18:0.019021739130434784 16:0.015398550724637682 6:0.01177536231884058 5:0.008152173913043478 11:9.057971014492754E-4 13:9.057971014492754E-4 2:9.057971014492754E-4 3:9.057971014492754E-4 4:9.057971014492754E-4 9:9.057971014492754E-4
AP890103-0152 2:0.5105790645879733 10:0.12750556792873052 7:0.11191536748329621 12:0.08741648106904232 16:0.06737193763919821 3:0.04510022271714922 19:0.013919821826280624 14:0.011692650334075724 17:0.007238307349665924 0:0.007238307349665924 5:0.005011135857461025 11:5.567928730512249E-4 13:5.567928730512249E-4 15:5.567928730512249E-4 18:5.567928730512249E-4 1:5.567928730512249E-4 4:5.567928730512249E-4 6:5.567928730512249E-4 8:5.567928730512249E-4 9:5.567928730512249E-4
AP890103-0183 0:0.3611111111111111 18:0.22777777777777777 11:0.09 17:0.08555555555555555 5:0.05444444444444444 6:0.04111111111111111 7:0.03666666666666667 12:0.023333333333333334 4:0.023333333333333334 15:0.014444444444444444 16:0.014444444444444444 19:0.01 2:0.01 13:0.0011111111111111111 14:0.0011111111111111111 1:0.0011111111111111111 3:0.0011111111111111111 8:0.0011111111111111111 9:0.0011111111111111111 10:0.0011111111111111111
AP890104-0022 2:0.5762195121951219 12:0.1274390243902439 7:0.11768292682926829 10:0.08353658536585366 3:0.05914634146341463 14:0.010365853658536586 8:0.007926829268292683 17:0.003048780487804878 19:0.003048780487804878 6:0.003048780487804878 9:0.003048780487804878 11:6.097560975609756E-4 13:6.097560975609756E-4 15:6.097560975609756E-4 16:6.097560975609756E-4 18:6.097560975609756E-4 0:6.097560975609756E-4 1:6.097560975609756E-4 4:6.097560975609756E-4 5:6.097560975609756E-4
AP890104-0023 10:0.4353448275862069 11:0.14224137931034483 2:0.10086206896551723 12:0.09741379310344828 3:0.052586206896551725 7:0.04913793103448276 17:0.04224137931034483 4:0.03189655172413793 16:0.014655172413793103 19:0.011206896551724138 13:0.007758620689655172 15:0.007758620689655172 14:8.620689655172414E-4 18:8.620689655172414E-4 0:8.620689655172414E-4 1:8.620689655172414E-4 5:8.620689655172414E-4 6:8.620689655172414E-4 8:8.620689655172414E-4 9:8.620689655172414E-4
AP890105-0053 12:0.2730414746543779 9:0.16705069124423963 1:0.12096774193548387 10:0.11635944700460829 7:0.11175115207373272 15:0.04723502304147465 19:0.04262672811059908 11:0.038018433179723504 2:0.038018433179723504 16:0.010368663594470046 17:0.010368663594470046 3:0.010368663594470046 0:0.00576036866359447 13:0.001152073732718894 14:0.001152073732718894 18:0.001152073732718894 4:0.001152073732718894 5:0.001152073732718894 6:0.001152073732718894 8:0.001152073732718894
AP890105-0121 19:0.19507042253521126 2:0.1387323943661972 12:0.12183098591549296 7:0.11901408450704225 9:0.11619718309859155 4:0.0880281690140845 15:0.0795774647887324 16:0.03732394366197183 17:0.03169014084507042 10:0.02323943661971831 3:0.020422535211267606 0:0.009154929577464789 11:0.006338028169014085 13:0.006338028169014085 6:0.0035211267605633804 14:7.042253521126761E-4 18:7.042253521126761E-4 1:7.042253521126761E-4 5:7.042253521126761E-4 8:7.042253521126761E-4
AP890105-0137 2:0.4910901467505241 12:0.23322851153039834 4:0.08438155136268344 7:0.07809224318658281 3:0.027777777777777776 10:0.02358490566037736 17:0.0110062893081761 1:0.00890985324947589 6:0.00890985324947589 19:0.006813417190775681 9:0.006813417190775681 14:0.0047169811320754715 5:0.0047169811320754715 15:0.002620545073375262 18:0.002620545073375262 0:0.002620545073375262 11:5.241090146750524E-4 13:5.241090146750524E-4 16:5.241090146750524E-4 8:5.241090146750524E-4
AP890105-0139 2:0.7418032786885246 3:0.13524590163934427 14:0.036885245901639344 16:0.020491803278688523 11:0.004098360655737705 12:0.004098360655737705 13:0.004098360655737705 15:0.004098360655737705 17:0.004098360655737705 18:0.004098360655737705 19:0.004098360655737705 0:0.004098360655737705 1:0.004098360655737705 4:0.004098360655737705 5:0.004098360655737705 6:0.004098360655737705 7:0.004098360655737705 8:0.004098360655737705 9:0.004098360655737705 10:0.004098360655737705
